founder_uuid,success,industry,ipos,acquisitions,educations_json,jobs_json,anonymised_prose
b7426ba4-236a-4a96-bc10-659949f0cafd,1,Financial Services,,,"[
  {
    ""degree"": ""Bachelor"",
    ""field"": ""Computer Science"",
    ""qs_ranking"": ""6""
  }
]","[
  {
    ""role"": ""Board Member"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Software Development""
  },
  {
    ""role"": ""Board Member"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Internet Media & Publishing""
  },
  {
    ""role"": ""Founder, CEO"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Founder"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Founder"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  },
  {
    ""role"": ""iOS Developer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Tech Leader"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Marketing, Advertising & Events"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Developer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Financial Services industry.
Education:
* Bachelor in Computer Science (Institution QS rank 6)

Professional experience:
* Board Member in the `Software Development` industry (10001+ employees)
* Board Member in the `Internet Media & Publishing` industry (10001+ employees)
* Founder, CEO for 2-3 years in the `Technology, Information & Internet Platforms` industry (201-500 employees)
* Founder for <2 years
* Founder for <2 years
* iOS Developer for <2 years
* Tech Leader for <2 years in the `Marketing, Advertising & Events` industry (201-500 employees)
* Developer for <2 years
"
a636d738-b5a6-4b01-98b5-1c3cafb97d12,1,IT Services & Digital Solutions,[],[],"[
  {
    ""degree"": ""BS"",
    ""field"": ""Mathematics and Statistics and Systems Analysis"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""VP (Sales & Growth)"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""IT Services & Digital Solutions"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Product & Sales Engineer"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Software Development"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Founder"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""IT Services & Digital Solutions"",
    ""duration"": ""2-3""
  }
]","This founder leads a startup in the IT Services & Digital Solutions industry.
Education:
* BS in Mathematics and Statistics and Systems Analysis (Institution QS rank 200+)

Professional experience:
* VP (Sales & Growth) for 2-3 years in the `IT Services & Digital Solutions` industry (51-200 employees)
* Product & Sales Engineer for <2 years in the `Software Development` industry (10001+ employees)
* Founder for 2-3 years in the `IT Services & Digital Solutions` industry (2-10 employees)
"
94d597af-5371-4097-9c12-eb661b51c9e9,1,Government Policy & Legal Services,[],[],"[
  {
    ""degree"": ""MBA"",
    ""field"": ""Business Administration"",
    ""qs_ranking"": ""1""
  },
  {
    ""degree"": ""BA"",
    ""field"": ""German Studies and Literature"",
    ""qs_ranking"": ""10""
  }
]","[
  {
    ""role"": ""Executive Chairman"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Government Policy & Legal Services industry.
Education:
* MBA in Business Administration (Institution QS rank 1)
* BA in German Studies and Literature (Institution QS rank 10)

Professional experience:
* Executive Chairman for <2 years
"
936c8277-1cf8-4e57-a805-a5e5916863cf,1,Financial Services,,,"[
  {
    ""degree"": ""BA"",
    ""field"": ""Economics"",
    ""qs_ranking"": ""11""
  }
]","[
  {
    ""role"": ""Financial Institutions & Investment Banking Specialist"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""VP"",
    ""company_size"": ""1001-5000 employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Financial Institutions & Investment Banking Specialist"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Financial Institutions & Investment Banking Specialist"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Financial Services"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Financial Services industry.
Education:
* BA in Economics (Institution QS rank 11)

Professional experience:
* Financial Institutions & Investment Banking Specialist for <2 years in the `Financial Services` industry (10001+ employees)
* VP for <2 years in the `Financial Services` industry (1001-5000 employees)
* Financial Institutions & Investment Banking Specialist for 2-3 years in the `Financial Services` industry (10001+ employees)
* Financial Institutions & Investment Banking Specialist for <2 years in the `Financial Services` industry (10001+ employees)
"
6d157621-0176-4b79-9036-092de8988bb4,1,Chemical & Pharmaceutical Manufacturing,,,"[
  {
    ""degree"": ""PhD"",
    ""field"": ""Mucosal Immunology"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""Professional Certification"",
    ""field"": ""Clinical Immunology"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""MD"",
    ""field"": ""Allergy and Immunology"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Co-Founder, Partner"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Founder, President"",
    ""company_size"": """",
    ""industry"": ""Chemical & Pharmaceutical Manufacturing"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""Adjunct Research Associate Professor of Medicine"",
    ""company_size"": ""1001-5000 employees"",
    ""industry"": ""Clinical & Diagnostic Healthcare"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""Co-Founder, CEO, CMO"",
    ""company_size"": """",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""VP & Head (Immunology Translational Medicine)"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Chemical & Pharmaceutical Manufacturing"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""VP & CMO"",
    ""company_size"": ""11-50 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Director (Clinical Development, Inflammation & Respiratory)"",
    ""company_size"": ""1001-5000 employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Director (Clinical Discovery, Immunology & Oncology)"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Chemical & Pharmaceutical Manufacturing"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Research Fellow (Clinical Investigation & Molecular Immunology)"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Biotechnology & Nanotechnology Research"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Chemical & Pharmaceutical Manufacturing industry.
Education:
* PhD in Mucosal Immunology (Institution QS rank 200+)
* Professional Certification in Clinical Immunology (Institution QS rank 200+)
* MD in Allergy and Immunology (Institution QS rank 200+)

Professional experience:
* Co-Founder, Partner for <2 years in the `Biotechnology & Nanotechnology Research` industry (2-10 employees)
* Founder, President for 4-5 years in the `Chemical & Pharmaceutical Manufacturing` industry
* Adjunct Research Associate Professor of Medicine for 4-5 years in the `Clinical & Diagnostic Healthcare` industry (1001-5000 employees)
* Co-Founder, CEO, CMO for <2 years in the `Biotechnology & Nanotechnology Research` industry
* VP & Head (Immunology Translational Medicine) for 4-5 years in the `Chemical & Pharmaceutical Manufacturing` industry (10001+ employees)
* VP & CMO for 2-3 years in the `Biotechnology & Nanotechnology Research` industry (11-50 employees)
* Director (Clinical Development, Inflammation & Respiratory) for <2 years in the `Biotechnology & Nanotechnology Research` industry (1001-5000 employees)
* Director (Clinical Discovery, Immunology & Oncology) for <2 years in the `Chemical & Pharmaceutical Manufacturing` industry (10001+ employees)
* Research Fellow (Clinical Investigation & Molecular Immunology) for <2 years in the `Biotechnology & Nanotechnology Research` industry (10001+ employees)
"
0c9aebdc-69ea-48fd-a63e-7ff4aa1c8d33,1,"Technology, Information & Internet Platforms",,,"[
  {
    ""degree"": ""JD"",
    ""field"": ""International Law"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""BA"",
    ""field"": ""English and Medieval Literature and Drama"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Editorial Photographer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""6-9""
  },
  {
    ""role"": ""CEO"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""VP (Client Services)"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""VP (Interactive Development)"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Executive VP, General Manager"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""VP (Delivery)"",
    ""company_size"": """",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Director (Delivery)"",
    ""company_size"": """",
    ""industry"": ""Technology, Information & Internet Platforms"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Independent Web Developer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""6-9""
  },
  {
    ""role"": ""Senior Historical Researcher"",
    ""company_size"": """",
    ""industry"": ""Environmental & Waste Services"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Asylum Case Worker"",
    ""company_size"": ""501-1000 employees"",
    ""industry"": ""Non\u2011Profit, NGO & Associations"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Technology, Information & Internet Platforms industry.
Education:
* JD in International Law (Institution QS rank 200+)
* BA in English and Medieval Literature and Drama (Institution QS rank 200+)

Professional experience:
* Editorial Photographer for 6-9 years
* CEO for 2-3 years
* VP (Client Services) for 2-3 years
* VP (Interactive Development) for <2 years in the `Technology, Information & Internet Platforms` industry (51-200 employees)
* Executive VP, General Manager for <2 years in the `Technology, Information & Internet Platforms` industry (51-200 employees)
* VP (Delivery) for <2 years in the `Technology, Information & Internet Platforms` industry
* Director (Delivery) for <2 years in the `Technology, Information & Internet Platforms` industry
* Independent Web Developer for 6-9 years
* Senior Historical Researcher for 2-3 years in the `Environmental & Waste Services` industry
* Asylum Case Worker for <2 years in the `Non‑Profit, NGO & Associations` industry (501-1000 employees)
"
bbe01d85-7183-4349-b7d6-c419913f5ece,1,,"[{'amount_raised_usd': '50M - 150M', 'valuation_usd': '150M - 500M'}]",[],,"[
  {
    ""role"": ""Board Member"",
    ""company_size"": """",
    ""industry"": """"
  },
  {
    ""role"": ""Founder, CEO"",
    ""company_size"": """",
    ""industry"": ""Entertainment & Live Arts""
  },
  {
    ""role"": ""Board Member & Advisor"",
    ""company_size"": """",
    ""industry"": """"
  },
  {
    ""role"": ""Board Member"",
    ""company_size"": """",
    ""industry"": """"
  }
]","This founder leads a startup
Professional experience:
* Board Member
* Founder, CEO in the `Entertainment & Live Arts` industry
* Board Member & Advisor
* Board Member

 They previously led their company(s) through one IPO valued at 150M - 500M."
384496e2-f85e-4b40-bd3e-a30a72a236ea,1,Renewable Energy & Climate Tech,,,"[
  {
    ""degree"": ""MBA"",
    ""field"": ""Finance"",
    ""qs_ranking"": ""200+""
  },
  {
    ""degree"": ""BA"",
    ""field"": ""Economics"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Lecturer"",
    ""company_size"": ""201-500 employees"",
    ""industry"": ""Higher Education & Research"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""COO"",
    ""company_size"": ""501-1000 employees"",
    ""industry"": ""Renewable Energy & Climate Tech"",
    ""duration"": ""6-9""
  },
  {
    ""role"": ""Finance Manager"",
    ""company_size"": ""1001-5000 employees"",
    ""industry"": ""Utilities & Power Generation"",
    ""duration"": ""2-3""
  },
  {
    ""role"": ""Strategy Consultant"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Management, Strategy & Professional Services"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Renewable Energy & Climate Tech industry.
Education:
* MBA in Finance (Institution QS rank 200+)
* BA in Economics (Institution QS rank 200+)

Professional experience:
* Lecturer for 4-5 years in the `Higher Education & Research` industry (201-500 employees)
* COO for 6-9 years in the `Renewable Energy & Climate Tech` industry (501-1000 employees)
* Finance Manager for 2-3 years in the `Utilities & Power Generation` industry (1001-5000 employees)
* Strategy Consultant for <2 years in the `Management, Strategy & Professional Services` industry (10001+ employees)
"
a6fa8b42-5b02-4b6e-893e-3d3f9446526c,1,Software Development,[],[],"[
  {
    ""degree"": """",
    ""field"": ""Computer Science and Business Administration"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Co-Founder, CEO"",
    ""company_size"": ""2-10 employees"",
    ""industry"": ""IT Services & Digital Solutions"",
    ""duration"": ""4-5""
  },
  {
    ""role"": ""Software Engineer"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Entertainment & Live Arts"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Developer"",
    ""company_size"": """",
    ""industry"": """",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Software Development industry.
Education:
* in Computer Science and Business Administration (Institution QS rank 200+)

Professional experience:
* Co-Founder, CEO for 4-5 years in the `IT Services & Digital Solutions` industry (2-10 employees)
* Software Engineer for <2 years in the `Entertainment & Live Arts` industry (10001+ employees)
* Developer for <2 years
"
58e198d1-872c-4981-a9cc-a74ed6317f55,1,Wellness & Community Health,[],[],"[
  {
    ""degree"": """",
    ""field"": ""Business Management"",
    ""qs_ranking"": ""200+""
  }
]","[
  {
    ""role"": ""Co-Founder"",
    ""company_size"": ""51-200 employees"",
    ""industry"": ""Electronic & Precision Equipment Manufacturing"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""VP (Marketing & Business Development)"",
    ""company_size"": """",
    ""industry"": ""Venture Capital & Private Equity"",
    ""duration"": ""<2""
  },
  {
    ""role"": ""Sales Representative"",
    ""company_size"": ""10001+ employees"",
    ""industry"": ""Electronic & Precision Equipment Manufacturing"",
    ""duration"": ""<2""
  }
]","This founder leads a startup in the Wellness & Community Health industry.
Education:
* in Business Management (Institution QS rank 200+)

Professional experience:
* Co-Founder for <2 years in the `Electronic & Precision Equipment Manufacturing` industry (51-200 employees)
* VP (Marketing & Business Development) for <2 years in the `Venture Capital & Private Equity` industry
* Sales Representative for <2 years in the `Electronic & Precision Equipment Manufacturing` industry (10001+ employees)
"
