family_id,family_label,family_display_label,route_group,route_label,evaluator_model,requested_n_components,actual_n_components,original_reasoning_feature_count,latent_feature_count,outer_split_count,outer_f0_5_mean,outer_f0_5_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,threshold_mean,threshold_std
reasoning_B,B,HQ + B,raw_family,HQ + B (raw),xgb1,,0,2,2,48,0.20236615242633782,0.03747269099947618,0.2221772867253897,0.03858685912305816,0.17361111111111113,0.07610138734612194,0.1702203445137828,0.01738090089280198,0.7060416666666668,0.06009504913514556
reasoning_C,C,HQ + C,block_pls,HQ + C PLS-block (k=2),logistic,2.0,2,3,2,48,0.21252381267869155,0.045233027796979235,0.23957574930942419,0.0505859398156981,0.16130050505050506,0.059870823037849304,0.17035737836918816,0.01633396119316755,0.239375,0.054291123046651624
reasoning_C,C,HQ + C,block_pls,HQ + C PLS-block (k=2),xgb1,2.0,2,3,2,48,0.2145745396054838,0.04529564125156642,0.22941995737054574,0.04180575485308975,0.1946022727272727,0.0800422833679801,0.17934862495588788,0.017841746879908003,0.7004166666666668,0.06428965486158893
reasoning_C,C,HQ + C,raw_family,HQ + C (raw),logistic,,0,3,3,48,0.21288297229691447,0.0452915250092982,0.24111589789269938,0.050829272585230484,0.15672348484848486,0.05289838050712907,0.1701527977885914,0.016347579464379012,0.24000000000000002,0.04843380362240131
reasoning_C,C,HQ + C,raw_family,HQ + C (raw),xgb1,,0,3,3,48,0.2075274250486239,0.038450479445607894,0.23153428954885205,0.04364033803593478,0.16603535353535356,0.07040486011000575,0.17244810580871428,0.017416693763324498,0.7122916666666669,0.05624498434428523
reasoning_D,D,HQ + D,block_pls,HQ + D PLS-block (k=1),logistic,1.0,1,2,1,48,0.21186874369353412,0.0462782425876025,0.24611407470861857,0.057932226367970074,0.14772727272727273,0.051054461159484164,0.17016884025125534,0.01642372012011314,0.2485416666666667,0.05664176842715592
reasoning_D,D,HQ + D,block_pls,HQ + D PLS-block (k=1),xgb1,1.0,1,2,1,48,0.2147748566323978,0.036710735250705784,0.23764617050783876,0.04056564262087106,0.1764520202020202,0.06811090471456556,0.17628077963759944,0.017260230128125553,0.7106250000000003,0.05857353818064948
reasoning_D,D,HQ + D,block_pls,HQ + D PLS-block (k=2),logistic,2.0,2,2,2,48,0.2180370724498398,0.03896215367653675,0.24338349718184984,0.047003462273064664,0.169665404040404,0.058185146934425946,0.1748716757818415,0.016719788868681234,0.23395833333333335,0.04494160949375189
reasoning_D,D,HQ + D,block_pls,HQ + D PLS-block (k=2),xgb1,2.0,2,2,2,48,0.2264639083886426,0.03379093133592795,0.24795110367494255,0.04304444551900096,0.19128787878787878,0.0665039767654524,0.1819759971326782,0.017436478285371784,0.7054166666666668,0.057552813909390155
reasoning_D,D,HQ + D,raw_family,HQ + D (raw),logistic,,0,2,2,48,0.2177460153012437,0.03630481712884013,0.24407477693670843,0.04512348860868987,0.16840277777777776,0.059233986959676875,0.1747556539489313,0.016708919862571395,0.23354166666666668,0.04366012594143794
reasoning_D,D,HQ + D,raw_family,HQ + D (raw),xgb1,,0,2,2,48,0.21586130735690412,0.03258947789660266,0.23549578950425074,0.03793453662941939,0.1848169191919192,0.06840486075893243,0.17659781358235827,0.017322761840547485,0.7018750000000002,0.060506757542718614
reasoning_E,E,HQ + E,block_pls,HQ + E PLS-block (k=1),logistic,1.0,1,3,1,48,0.20492127027460985,0.04521456967198146,0.2376019337179267,0.053481412005833076,0.14772727272727273,0.05849789852833523,0.16643350704716903,0.01683959217390023,0.2522916666666667,0.07257868096456119
reasoning_E,E,HQ + E,block_pls,HQ + E PLS-block (k=1),xgb1,1.0,1,3,1,48,0.2004791995676747,0.035046795156739766,0.22642821211708944,0.041077656439290976,0.16224747474747472,0.07456179589440752,0.16976758727889918,0.017787710113193522,0.7195833333333335,0.06224810349632261
reasoning_E,E,HQ + E,raw_family,HQ + E (raw),logistic,,0,3,3,48,0.20394315549901085,0.042583812313085945,0.23725508470661402,0.04960544255717153,0.14567550505050506,0.058174871336096924,0.16514248290291197,0.01678204674112285,0.2577083333333334,0.07754674889309604
reasoning_E,E,HQ + E,raw_family,HQ + E (raw),xgb1,,0,3,3,48,0.2048271261705427,0.03544124418756283,0.22633221976266302,0.03762369319130923,0.1803977272727273,0.0874042428555597,0.17003233060292908,0.017388385430696696,0.706666666666667,0.06665624918607077
reasoning_F,F,HQ + F,block_pls,HQ + F PLS-block (k=2),logistic,2.0,2,6,2,48,0.2271404579944949,0.037640663381957526,0.2473388724296676,0.03608654330639345,0.17960858585858586,0.05063017171690067,0.17563260617904872,0.017808672957404296,0.23083333333333333,0.05537122196793407
reasoning_F,F,HQ + F,block_pls,HQ + F PLS-block (k=2),xgb1,2.0,2,6,2,48,0.234646152434928,0.03800426273359732,0.24703538311064877,0.0411310886456266,0.20849116161616163,0.06131197131628214,0.18285592902219597,0.01908898990196585,0.6937500000000001,0.039823830805185007
reasoning_F,F,HQ + F,block_pls,HQ + F PLS-block (k=3),logistic,3.0,3,6,3,48,0.2235622180907939,0.04424110560333175,0.24530620147090224,0.046829043839053834,0.17613636363636362,0.05705967199115314,0.17708396733327195,0.01748881663293755,0.24041666666666664,0.057552813909390134
reasoning_F,F,HQ + F,block_pls,HQ + F PLS-block (k=3),xgb1,3.0,3,6,3,48,0.24067180980391886,0.031734744792909164,0.249508350260341,0.030866009836329103,0.22458964646464644,0.062480667030806646,0.18726062560466086,0.0191684159816509,0.6856250000000003,0.03673703002421402
reasoning_F,F,HQ + F,raw_family,HQ + F (raw),logistic,,0,6,6,48,0.22740705954201065,0.0432999620231794,0.2453461775077944,0.042271657859312015,0.1873421717171717,0.05843121918293388,0.1777579490155392,0.01759157744512178,0.230625,0.055242128021405316
reasoning_F,F,HQ + F,raw_family,HQ + F (raw),xgb1,,0,6,6,48,0.20571595282804087,0.03646633430807328,0.22630511826705138,0.03725765512635458,0.18213383838383837,0.08769516601491459,0.1732068418544792,0.01797900150292517,0.7045833333333335,0.06999875990965049
